plate_id,well,row,col,heat_min,polymer_id,sample_name,source_file,use_for_bo,include_in_all_polymers,all_polymers_pair,status,abs_activity,slope,intercept,r2,n,t_start,t_end,select_method,select_method_used,exclude_reason,dy,mono_frac,down_steps,pos_steps,pos_steps_eps,pos_eps,rmse,snr,start_idx_used,skip_indices,skip_count,run_id
plate2,F5,F,5,20.0,PMBTA-9,,2-plate6.csv,True,True,False,ok,8.970476190476187,8.970476190476187,639.5580952380958,0.999631580415118,6,6.0,156.0,initial_positive,initial_positive,,1074.5,1.0,0,5,5,34.47045,8.823309676691242,121.77969938405447,0,,0,260211-3
plate2,F6,F,6,40.0,PMBTA-9,,2-plate6.csv,True,True,False,ok,0.5672294372294374,0.5672294372294374,261.33255411255413,0.9997059241057376,21,6.0,606.0,initial_positive_promote_long_ext,initial_positive_promote_long_ext,,324.5,1.0,0,20,20,1.6679249999999999,1.7672960687909567,183.6138300368729,0,,0,260211-3
plate2,F7,F,7,60.0,PMBTA-9,,2-plate6.csv,True,True,False,ok,0.17523809523809383,0.17523809523809383,283.80571428571443,0.9951793062904174,6,6.0,156.0,initial_positive,initial_positive,,21.0,1.0,0,5,5,1.11195,0.6248809410409237,33.606401829098346,0,,0,260211-3
plate2,G1,G,1,0.0,PMBTA-10,,2-plate6.csv,True,True,False,ok,20.443232323232323,20.443232323232323,907.5042424242422,0.9995014819000829,10,6.0,276.0,initial_positive_promote_long_ext,initial_positive_promote_long_ext,,4904.0,1.0,0,9,9,246.296925,39.34110349548439,124.65334127098801,0,,0,260211-3
plate2,G2,G,2,5.0,PMBTA-10,,2-plate6.csv,True,True,False,ok,20.45333333333333,20.45333333333333,631.8799999999994,0.9991162250091551,4,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,1823.0,1.0,0,5,5,33.35849999999999,20.40343108401126,89.34771767031224,0,,0,260211-3
plate2,G3,G,3,10.0,PMBTA-10,,2-plate6.csv,True,True,False,ok,16.719047619047625,16.719047619047625,658.1857142857135,0.9995218796545955,8,6.0,216.0,initial_positive_promote_long_ext,initial_positive_promote_long_ext,,3006.5,1.0,0,7,7,119.53462499999998,25.135347904608764,119.61242833836468,0,,0,260211-3
plate2,G4,G,4,15.0,PMBTA-10,,2-plate6.csv,True,True,False,ok,8.435584415584417,8.435584415584417,468.80640692640753,0.999386296457108,21,6.0,606.0,initial_positive_promote_long_ext,initial_positive_promote_long_ext,,4544.0,1.0,0,19,19,25.018875,30.92820390828552,146.9209144337844,0,,0,260211-3
plate2,G5,G,5,20.0,PMBTA-10,,2-plate6.csv,True,True,False,ok,6.636416040100253,6.636416040100253,975.3604511278205,0.984360380550343,20,36.0,606.0,initial_positive_post_broad_overfit_ext_neighbor_recheck_right,initial_positive_post_broad_overfit_ext_neighbor_recheck_right,,3844.0,1.0,0,19,19,0.0,144.7060576489484,26.564195462538116,1,0,1,260211-3
plate2,G6,G,6,40.0,PMBTA-10,,2-plate6.csv,True,True,False,ok,2.2466666666666666,2.2466666666666666,326.4199999999997,0.9985843664820189,4,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,201.0,1.0,0,5,5,5.003774999999999,2.8372521918222153,70.84319137342445,0,,0,260211-3
plate2,G7,G,7,60.0,PMBTA-10,,2-plate6.csv,True,True,False,ok,0.3211255411255412,0.3211255411255412,279.21177489177495,0.9969871307382867,21,6.0,606.0,initial_positive_promote_long_ext,initial_positive_promote_long_ext,,185.0,1.0,0,20,20,2.2239,3.2068392179109995,57.68920342706021,0,,0,260211-3
plate2,H1,H,1,0.0,PMBTA-11,,2-plate6.csv,True,True,False,ok,30.683333333333334,30.683333333333334,1271.3999999999987,0.9992378237089659,4,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,2767.0,1.0,0,5,4,359.15985,28.423141979731838,97.35025079116916,0,,0,260211-3
plate2,H2,H,2,5.0,PMBTA-11,,2-plate6.csv,True,True,False,ok,28.48333333333333,28.48333333333333,1591.5999999999983,0.9977040394381066,4,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,2570.0,1.0,0,5,4,324.133425,45.82984835235657,56.07699113994111,0,,0,260211-3
plate2,H3,H,3,10.0,PMBTA-11,,2-plate6.csv,True,True,False,ok,23.70666666666666,23.70666666666666,1383.4599999999991,0.9993212275436679,4,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,2141.0,1.0,0,5,5,175.6881,20.72317543235116,103.31428245584218,0,,0,260211-3
plate2,H4,H,4,15.0,PMBTA-11,,2-plate6.csv,True,True,False,ok,18.64333333333333,18.64333333333333,1195.4399999999998,0.9996163439521526,4,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,1681.0,1.0,0,5,5,119.53462499999998,12.250510193457298,137.21877484724223,0,,0,260211-3
plate2,H5,H,5,20.0,PMBTA-11,,2-plate6.csv,True,True,False,ok,7.568253968253972,7.568253968253972,688.923809523809,0.9997451584391102,8,6.0,216.0,initial_positive_promote_long_ext,initial_positive_promote_long_ext,,1360.5,1.0,0,7,7,21.12705,8.305907249548097,163.79908408847902,0,,0,260211-3
plate2,H6,H,6,40.0,PMBTA-11,,2-plate6.csv,True,True,False,ok,0.7946753246753248,0.7946753246753248,313.49601731601746,0.9997326832624238,21,6.0,606.0,initial_positive_promote_long_ext,initial_positive_promote_long_ext,,456.0,1.0,0,20,20,1.6679249999999999,2.360575138944054,193.17326209060533,0,,0,260211-3
plate2,H7,H,7,60.0,PMBTA-11,,2-plate6.csv,True,True,False,ok,0.1899999999999999,0.1899999999999999,305.66952380952387,0.9986452527771653,21,6.0,606.0,initial_positive_promote_long_ext,initial_positive_promote_long_ext,,97.0,1.0,0,18,18,1.11195,1.078241103889269,89.96132650668412,0,,0,260211-3
