run_id,polymer_id,family,abs0,rea20,fog,native_rel,rank_abs_desc,rank_rea20_desc,rank_fog_desc,delta_abs_to_fog,delta_abs_to_rea20,spearman_abs_vs_fog_run,spearman_abs_vs_rea20_run
260211-1,PMBTA-7,pmbta,32.56666666666666,15.875526725066136,0.8148454412149997,1.0153814175847018,5.0,10.0,12.0,-7.0,-5.0,-0.7197802197802198,-0.6758241758241759
260211-1,PMBTA-8,pmbta,34.76333333333332,13.3414193439124,0.7862621245591332,1.0838702972355017,1.0,12.0,13.0,-12.0,-11.0,-0.7197802197802198,-0.6758241758241759
260211-1,PMBTA-9,pmbta,33.00333333333333,17.287116479117287,0.9648557921995714,1.0289960507171063,4.0,8.0,8.0,-4.0,-4.0,-0.7197802197802198,-0.6758241758241759
260211-1,PMPC,homopolymer_pmpc,28.399999999999995,22.68276324614352,1.213963594857101,0.8854707960922884,9.0,4.0,3.0,6.0,5.0,-0.7197802197802198,-0.6758241758241759
260211-1,PMTAC,homopolymer_pmtac,13.296493506493508,31.38672110278725,1.623511957374557,0.414565376423618,13.0,2.0,1.0,12.0,11.0,-0.7197802197802198,-0.6758241758241759
260211-2,PMBTA-1,pmbta,30.59666666666666,17.810841517127596,0.863715118929397,0.940953357252691,10.0,13.0,11.0,-1.0,-3.0,-0.35213238264366686,-0.19807446523706262
260211-2,PMBTA-10,pmbta,18.680555555555564,55.48932554434408,1.5957776384085527,0.5744917136511195,12.0,1.0,1.0,11.0,11.0,-0.35213238264366686,-0.19807446523706262
260211-2,PMBTA-11,pmbta,33.443333333333335,31.555865643376823,1.071524111959006,1.0284982060481809,2.0,3.0,3.0,-1.0,-1.0,-0.35213238264366686,-0.19807446523706262
260211-2,PMBTA-2,pmbta,31.069999999999997,18.7104387941208,0.8485591294885898,0.9555099948744236,7.0,11.0,12.0,-5.0,-4.0,-0.35213238264366686,-0.19807446523706262
260211-2,PMBTA-3,pmbta,32.56999999999999,22.394500733462973,0.9166490190771216,1.0016401845207583,5.0,7.0,8.0,-3.0,-2.0,-0.35213238264366686,-0.19807446523706262
260211-2,PMBTA-4,pmbta,32.773333333333326,26.45298151807508,0.9708517692901264,1.0078933880061507,3.0,6.0,6.0,-3.0,-3.0,-0.35213238264366686,-0.19807446523706262
260211-2,PMBTA-5,pmbta,30.349999999999987,27.253471405036475,1.014609386917616,0.9333675038441824,11.0,4.0,4.0,7.0,7.0,-0.35213238264366686,-0.19807446523706262
260211-2,PMBTA-6,pmbta,32.63999999999999,20.395658263305315,0.924300826924484,1.0037929267042542,4.0,8.0,7.0,-3.0,-4.0,-0.35213238264366686,-0.19807446523706262
260211-2,PMBTA-7,pmbta,31.069999999999997,19.61903740146419,0.8966662532539017,0.9555099948744236,7.0,9.0,10.0,-3.0,-2.0,-0.35213238264366686,-0.19807446523706262
260211-2,PMBTA-8,pmbta,30.87666666666666,18.23888084278887,0.9056233207140943,0.9495643259866736,9.0,12.0,9.0,0.0,-3.0,-0.35213238264366686,-0.19807446523706262
260211-2,PMBTA-9,pmbta,31.526666666666657,27.17024640264228,1.0039162085074396,0.9695540748334188,6.0,5.0,5.0,1.0,1.0,-0.35213238264366686,-0.19807446523706262
260211-2,PMPC,homopolymer_pmpc,35.75666666666666,19.33150439256529,0.8240529780670256,1.099641209636084,1.0,10.0,13.0,-12.0,-9.0,-0.35213238264366686,-0.19807446523706262
260211-2,PMTAC,homopolymer_pmtac,13.158006535947717,44.32300435169039,1.2588282979563268,0.4046542245806577,13.0,2.0,2.0,11.0,11.0,-0.35213238264366686,-0.19807446523706262
260216-1,PMBTA-1,pmbta,26.733333333333327,18.99310166143084,1.292000795915836,1.2602137020741673,8.0,8.0,7.0,1.0,0.0,-0.8461538461538461,-0.7802197802197801
260216-1,PMBTA-10,pmbta,16.442222222222224,38.43025470272395,1.655783171151641,0.7750890425309033,12.0,2.0,2.0,10.0,10.0,-0.8461538461538461,-0.7802197802197801
260216-1,PMBTA-11,pmbta,30.623333333333328,21.101245548834523,1.14861365357401,1.4435889377749844,1.0,7.0,9.0,-8.0,-6.0,-0.8461538461538461,-0.7802197802197801
260216-1,PMBTA-2,pmbta,27.819999999999997,14.780390948615254,1.0797137680474462,1.3114393463230676,4.0,10.0,10.0,-6.0,-6.0,-0.8461538461538461,-0.7802197802197801
260216-1,PMBTA-3,pmbta,25.513333333333325,18.04997980853744,1.241859387067474,1.2027027027027026,9.0,9.0,8.0,1.0,0.0,-0.8461538461538461,-0.7802197802197801
260216-1,PMBTA-4,pmbta,27.09666666666666,26.557475001318025,1.4173261137722477,1.2773412947831553,6.0,5.0,4.0,2.0,1.0,-0.8461538461538461,-0.7802197802197801
